exp_code,pNum,cue1,cue2,cueOrder,cueRelevant,instruction,corRespKey,incRespKey,accuracy,RT
SAC09,517,1,4,1,1,1,a,k,1,1.6189217000028293
SAC09,517,2,4,2,2,1,k,z,0,1.1186013000005914
SAC09,517,1,3,2,2,1,z,k,1,1.0228659999993397
SAC09,517,1,3,1,1,1,a,m,1,1.163266499999736
SAC09,517,2,3,1,1,1,k,a,0,1.3212886999972397
SAC09,517,1,4,2,2,1,a,z,0,1.3298673999997845
SAC09,517,2,3,2,2,1,k,m,1,0.8016553999987082
SAC09,517,2,4,1,1,1,z,k,0,0.782535900001676
SAC09,517,2,3,1,1,1,m,k,0,1.524283300001116
SAC09,517,1,3,2,1,2,z,m,0,1.3641477999990457
SAC09,517,2,4,1,2,2,k,a,0,0.8904814000015904
SAC09,517,2,3,1,2,2,m,k,1,1.0600765000017418
SAC09,517,1,3,1,2,2,a,k,1,0.7672155000000203
SAC09,517,1,4,2,1,2,k,z,0,0.965497699999105
SAC09,517,2,4,2,2,1,a,k,1,0.9477874999975029
SAC09,517,2,4,2,1,2,a,z,0,0.7069865000012214
SAC09,517,2,4,1,1,1,m,z,1,0.9956708999998227
SAC09,517,2,3,2,2,1,a,k,1,0.8409910999980639
SAC09,517,1,4,1,1,1,k,z,0,0.756710400000884
SAC09,517,1,3,1,1,1,k,z,0,0.7793727999996918
SAC09,517,2,3,2,1,2,a,m,0,0.8339259999993374
SAC09,517,1,4,1,2,2,a,k,0,0.9896755000008852
SAC09,517,1,3,2,2,1,a,m,0,0.9150989000008849
SAC09,517,1,4,2,2,1,a,z,0,1.7394004000016139
